location,n apartments,average,25%,median,75%
69000,43265,354533.06,189000.0,354533.06,400000.0
69001,2986,388736.32,200000.0,298175.0,450000.0
69002,2541,467641.71,227500.0,360000.0,586740.0
69003,8416,355781.77,197500.0,281000.0,400000.0
69004,3410,409626.25,235000.0,341000.0,481000.0
69005,3906,324037.9,177037.5,245000.0,352937.5
69006,3646,477232.07,255000.0,398000.0,600000.0
69007,7892,319325.22,186997.5,258822.5,355000.0
69008,6073,285232.2,165000.0,225000.0,308623.0
69009,4395,305058.87,166500.0,225000.0,314600.0
